序号,文件,相关度,相关度分值,职位,招聘主体,薪资,学历,招聘人数,专业,地区,更新时间,所属行业,公司性质,公司规模,技术关键词,同模板条数,JD指纹,详情页
289,289-商务专员-广州君安药房有限公司.md,直接相关,3,商务专员,广州君安药房有限公司,8k-10k,专科及以上,招聘 6人,专业不限,四川省成都市武侯区,08-03 10:05,制药/生物工程,民营企业,100-499人,,1,14acdc0f3400,https://www.ncss.cn/student/jobs/9Gaj5ZNp4gSXzsNmrJ4q4q/detail.html
290,290-5G通讯推广专员-海南老友通讯科技有限公司.md,直接相关,3,5G通讯推广专员,海南老友通讯科技有限公司,4k-20k,不限,招聘 7人,市场营销 工商管理 只考核态度,海南省海口市龙华区,07-28 10:22,通信/电信设备、运营、增值服务,民营企业,50-99人,,1,8b273649c8bc,https://www.ncss.cn/student/jobs/LyYa72Np9FquvPA6hJchq9/detail.html
291,291-运营总监-广州市穗丰物业有限公司.md,直接相关,3,运营总监,广州市穗丰物业有限公司,16k-20k,本科及以上,招聘 1人,专业不限,广东省广州市黄埔区,07-29 10:58,物业管理/商业中心,民营企业,100-499人,,1,0a7fdef4d4c2,https://www.ncss.cn/student/jobs/3Z4zQjrSZwWjs9ARbSYHmn/detail.html
292,292-视频编导制作、沙龙活动策划与组织-北京沣谊律师事务所.md,直接相关,3,视频编导制作、沙龙活动策划与组织,北京沣谊律师事务所,1k-2.5k,本科及以上,招聘 5人,新闻学、传播学、广播电视学、编导、网络与新媒体、心理学、法学,北京市东城区,06-29 18:07,专业服务（财会/法律/翻译/人力资源等）,其他,1-49人,,1,8770c3624d7a,https://www.ncss.cn/student/jobs/DyaEdVJr36trcoF38BcczL/detail.html
293,293-电商网店运营助理（另招电商客服美工）-杭州原石层文化创意有限公司.md,直接相关,3,电商网店运营助理（另招电商客服/美工）,杭州原石层文化创意有限公司,3.5k-20k,专科及以上,招聘 20人,电子商务/商务英语/数字媒体/网络营销与直播电商/计算机相关,浙江省义乌市,07-29 19:46,互联网/电子商务,民营企业,50-99人,,1,16b3fd627457,https://www.ncss.cn/student/jobs/DoGyvNtnKknoVhPurToFjB/detail.html
294,294-营销业务部营销企划岗-富德生命人寿保险股份有限公司云南分公司.md,直接相关,3,营销业务部营销企划岗,富德生命人寿保险股份有限公司云南分公司,4k-6k,本科及以上,招聘 1人,专业不限,云南省昆明市,07-21 15:45,投资/基金/证券/期货,股份制企业,100-499人,,1,7c978b8b68af,https://www.ncss.cn/student/jobs/VmqnAFYfgTWwNg7Hcufofi/detail.html
295,295-市场营销-今飞控股集团有限公司.md,直接相关,3,市场营销,今飞控股集团有限公司,5k-8k,本科及以上,招聘 3人,工商管理 国际经济与贸易 市场营销、英语、商务英语等,浙江省金华市婺城区,07-28 11:09,机械制造/机电/重工,民营企业,5000以上,,1,97bb67dd16e2,https://www.ncss.cn/student/jobs/QFNrxAwFK2r1t8VUkRmkUv/detail.html
296,296-网络营销岗-中国平安人寿保险股份有限公司上海电话销售中心.md,直接相关,3,网络营销岗,中国平安人寿保险股份有限公司上海电话销售中心,10k-15k,专科及以上,招聘 2人,"经济学 财政学类, 教育学 文学 历史学 机械 医学 理学 军事学 农学 工学 逻辑学 电子技术类 政治学 管理学 保险学 数字经济学 互联网 审计 汉语言文学 贸易 市场营销 伦理学 不限专业",全国,07-27 14:34,投资/基金/证券/期货,上市公司,5000以上,,1,1d349712cf79,https://www.ncss.cn/student/jobs/N36iXofCJy3KZ6hmkMrage/detail.html
297,297-新媒体运营-北京纽带文化传播有限公司.md,直接相关,3,新媒体运营,北京纽带文化传播有限公司,1k-2k,不限,招聘 4人,英语 语文 教育 小学 学前 艺术 语言 国际 对外 学 科学 美术 艺术 研究 中学 学科 工程 管理 行政 数字 新媒体 传播 广播 电视 传媒 新闻 产品 设计 平面 广告,北京市通州区,08-03 17:24,教育/培训/院校,民营企业,50-99人,,1,d0bf13576690,https://www.ncss.cn/student/jobs/XNu5kEBxNRzgrEjYeuZ6Zr/detail.html
298,298-室内设计师助理-江苏常居房地产营销策划有限公司.md,直接相关,3,室内设计师助理,江苏常居房地产营销策划有限公司,4k-6k,专科及以上,招聘 2人,室内设计,江苏省常州市新北区,08-04 08:35,房地产/建筑/建材/工程,民营企业,1000-4999人,,1,c9807854660d,https://www.ncss.cn/student/jobs/UWrdPfex79tfVcK1X1AtkU/detail.html
299,299-营销培训部主管训练推动岗-富德生命人寿保险股份有限公司云南分公司.md,直接相关,3,营销培训部主管训练推动岗,富德生命人寿保险股份有限公司云南分公司,4k-6k,本科及以上,招聘 1人,专业不限,云南省昆明市,07-21 15:45,投资/基金/证券/期货,股份制企业,100-499人,,1,b1aaa169cec9,https://www.ncss.cn/student/jobs/H3HmkhxJuvCbznDKk1s38j/detail.html
300,300-跨境电商运营-河南印湃科技有限公司.md,直接相关,3,跨境电商运营,河南印湃科技有限公司,3.5k-50k,专科及以上,招聘 50人,电子商务 平面设计 服装设计 美术,河南省新密市,06-15 09:49,互联网/电子商务,民营企业,50-99人,,1,fb58173e7577,https://www.ncss.cn/student/jobs/FejRsmsEKvPTUBmCG1abpM/detail.html
301,301-运营经理-蔡氏尚诚（山西）科技发展有限责任公司.md,直接相关,3,运营经理,蔡氏尚诚（山西）科技发展有限责任公司,8k-16k,本科及以上,招聘 10人,电子商务 市场营销,山西省平定县,07-27 11:24,计算机软件,民营企业,50-99人,,1,1ce3399f453c,https://www.ncss.cn/student/jobs/MSH52DBfqf5wx51oKQiYDc/detail.html
302,302-推广专员-云南华盛图书有限公司.md,直接相关,3,推广专员,云南华盛图书有限公司,3k-7k,专科及以上,招聘 5人,营销,云南省昆明市,07-22 17:25,批发/零售,民营企业,1-49人,,1,ab9d52e467fa,https://www.ncss.cn/student/jobs/EKMUG6QS26sSYVKau9zFBj/detail.html
303,303-抖音运营助理-惠州市路顺安交通设备有限公司.md,直接相关,3,抖音运营助理,惠州市路顺安交通设备有限公司,5k-8k,不限,招聘 20人,专业不限,全国,08-04 13:59,房地产/建筑/建材/工程,民营企业,100-499人,,1,b0a663b4158d,https://www.ncss.cn/student/jobs/UJhP9Nz2XbswJ8VvbRXycy/detail.html
304,304-酒店ota运营专员-上海简兮酒店管理有限公司.md,直接相关,3,酒店ota运营专员,上海简兮酒店管理有限公司,10k-15k,本科及以上,招聘 1人,哲学 逻辑学 宗教学 伦理学 经济学 财政学 金融学 经济与贸易 金融学 金融工程 国际经济与贸易 体育学 教育学 科学教育 人文教育 教育技术学 艺术教育 学前教育 小学教育 特殊教育 华文教育 中国语言文学 外国语言文学 新闻传播学 汉语言文学 汉语言 汉语国际教育 中国少数民族语言文学 古典文献学 应用语言学 秘书学 力学 能源动力 电气 电子信息 自动化 计算机 土木 水利 测绘 农门学 医学类,全国,07-05 14:52,酒店/餐饮,民营企业,1-49人,,1,1efd7ace18d0,https://www.ncss.cn/student/jobs/UBEJvooVABKruhrA61rvgy/detail.html
305,305-新媒体运营-杭州星播友新零售科技有限公司.md,直接相关,3,新媒体运营,杭州星播友新零售科技有限公司,4k-10k,本科及以上,招聘 3人,体育 表演 戏曲 音乐表演 艺术 设计 编导 广播电视编导 酒店管理 旅游管理 营销,浙江省杭州市,07-30 10:24,批发/零售,民营企业,1000-4999人,,1,457683cc9d2a,https://www.ncss.cn/student/jobs/Kj3fuzhmXKzpkyYEHyyw1i/detail.html
306,306-新媒体运营专员-睡无忧光科技（重庆）有限公司.md,直接相关,3,新媒体运营专员,睡无忧光科技（重庆）有限公司,3k-8k,本科及以上,招聘 人数不限,新媒体运营 播音主持 编辑编导 新闻,重庆市九龙坡区,07-29 10:28,医疗设备/器械,民营企业,1-49人,,1,0bccd3ea1ee2,https://www.ncss.cn/student/jobs/KnSGYdH2xzoYBwK48UDFE4/detail.html
307,307-新媒体运营专员-睡无忧光科技（重庆）有限公司.md,直接相关,3,新媒体运营专员,睡无忧光科技（重庆）有限公司,3k-5k,本科及以上,招聘 人数不限,新媒体运营 播音主持 编辑编导 新闻,重庆市九龙坡区,07-29 10:28,医疗设备/器械,民营企业,1-49人,,1,92df7de4c9eb,https://www.ncss.cn/student/jobs/V9jnvY6T9kBBmKxfYqsfqR/detail.html
308,308-渠道运营经理-平安点创国际融资租赁有限公司.md,较相关,2,渠道运营经理,平安点创国际融资租赁有限公司,10k-18k,本科及以上,招聘 2人,哲学 逻辑学 宗教学 伦理学 经济学 财政学 金融学 经济与贸易 金融学 金融工程 国际经济与贸易 体育学 教育学 科学教育 人文教育 教育技术学 艺术教育 学前教育 小学教育 特殊教育 华文教育 中国语言文学 外国语言文学 新闻传播学 汉语言文学 汉语言 汉语国际教育 中国少数民族语言文学 古典文献学 应用语言学 秘书学 力学 能源动力 电气 电子信息 自动化 计算机 土木 水利 测绘 农门学 医学类,全国,07-31 10:47,租赁服务,民营企业,100-499人,,3,298162fa5170,https://www.ncss.cn/student/jobs/U3oz9wDT4sxqD6BUJCdc2h/detail.html
309,309-运营助理-重庆遐辰企业管理有限公司.md,较相关,2,运营助理,重庆遐辰企业管理有限公司,5k-11k,专科及以上,招聘 20人,市场营销 电子商务 财务管理 学前教育 工商管理,重庆市两江新区,07-31 10:30,市场推广/运营,民营企业,50-99人,,2,283d19256f91,https://www.ncss.cn/student/jobs/W93pdKqLTTs9vBWuLz3U6z/detail.html
310,310-金水区销售-郑州友之家房地产营销策划有限公司.md,较相关,2,金水区销售,郑州友之家房地产营销策划有限公司,4k-8k,不限,招聘 10人,专业不限,河南省郑州市,07-27 10:35,中介服务,民营企业,1-49人,,2,c7b722e38b7a,https://www.ncss.cn/student/jobs/TkkpCskTD2i2F6b61ZXwzW/detail.html
311,311-媒介跟单员-双晨美景（天津）传媒有限公司.md,较相关,2,媒介跟单员,双晨美景（天津）传媒有限公司,3k-6k,专科及以上,招聘 2人,农林牧渔 资源环境与安全 能源动力与材料 土木建筑 水利 装备制造 生物与化工 轻工纺织 轻工纺织 交通运输 电子与信息 医药卫生 财经商贸 旅游 文化艺术 新闻传播 教育 公共管理与服务 计算机 大数据,河北省石家庄市新华区,07-23 12:47,媒体/出版/影视/文化传播,民营企业,1-49人,,2,3117b3085f0b,https://www.ncss.cn/student/jobs/P7oV7fztjnB16S3PxZrfLM/detail.html
312,312-自由工作销售-郑州友之家房地产营销策划有限公司.md,较相关,1,自由工作销售,郑州友之家房地产营销策划有限公司,4k-8k,不限,招聘 10人,专业不限,河南省郑州市,07-27 10:35,中介服务,民营企业,1-49人,,2,ad09b0d43a11,https://www.ncss.cn/student/jobs/5MPULGyYvPUPTBw1vGmmnn/detail.html
313,313-湖南数据分析标注-长沙学励教育咨询有限公司.md,较相关,1,湖南数据分析标注,长沙学励教育咨询有限公司,3.5k-8k,专科及以上,招聘 10人,专业不限,湖南省长沙市,07-14 12:07,教育/培训/院校,民营企业,50-99人,,2,fa1df0d76208,https://www.ncss.cn/student/jobs/2GSAM7bWxv6Y7PLXB1pUBR/detail.html
314,314-数据分析-安徽省金钢智力机械制造有限公司.md,较相关,1,数据分析,安徽省金钢智力机械制造有限公司,6k-8k,专科及以上,招聘 15人,机械 数控 模具 工业机器人 电气,安徽省六安市,08-01 08:15,机械制造/机电/重工,民营企业,100-499人,,2,64ddb7b377af,https://www.ncss.cn/student/jobs/PR4nqYKhqbB71B2ip7kwNu/detail.html
315,315-心理产品市场推广-北京万家健康科技有限公司.md,较相关,1,心理产品市场推广,北京万家健康科技有限公司,4k-10k,本科及以上,招聘 2人,心理 精神 医学 临床,全国,08-02 06:33,医疗设备/器械,民营企业,1-49人,,2,1eb1e8642450,https://www.ncss.cn/student/jobs/95nV9wneod76cNfEvnoFsR/detail.html
316,316-市场推广专员-乐伴（江西）数字科技有限公司.md,较相关,1,市场推广专员,乐伴（江西）数字科技有限公司,5k-8k,专科及以上,招聘 5人,市场营销 管理 都可以,江西省南昌市,07-06 18:51,娱乐/体育/休闲,民营企业,1-49人,,2,09eb4ae6de57,https://www.ncss.cn/student/jobs/4YD9Fuwhce1sDDyoHaCYHR/detail.html
317,317-大客户销售（面向工程担保领域）-成都义鑫非融资性担保有限公司.md,较相关,2,大客户销售（面向工程担保领域）,成都义鑫非融资性担保有限公司,8k-20k,本科及以上,招聘 6人,市场营销 法学 财务 金融 工程 建筑,四川省成都市,08-03 12:04,信托/担保/拍卖/典当,民营企业,50-99人,,1,8a251b5f7c32,https://www.ncss.cn/student/jobs/KbNgZLxgeSQWiW1BxmDg8g/detail.html
318,318-知识产权商务专员-宁波共创知识产权服务有限公司.md,较相关,2,知识产权商务专员,宁波共创知识产权服务有限公司,5k-10k,本科及以上,招聘 5人,法学 知识产权,浙江省宁波市,06-15 14:22,专业服务（财会/法律/翻译/人力资源等）,其他,50-99人,,1,976f2445bfcb,https://www.ncss.cn/student/jobs/899GQZvpQhrTVZE46PJ8fi/detail.html
319,319-商务经理-湖北阳光文化教育咨询有限公司.md,较相关,2,商务经理,湖北阳光文化教育咨询有限公司,6k-10k,本科及以上,招聘 5人,教育类,湖北省武汉市洪山区,07-27 14:50,教育/培训/院校,民营企业,50-99人,,1,2efbfb4bf6ca,https://www.ncss.cn/student/jobs/CNQ5F74q3pKySvNcjD6wSy/detail.html
320,320-青少年AI教育机构BD·区域商务拓展·城市合伙人（远程办公）-珠海横琴领念教育科技有限公司.md,较相关,2,青少年AI教育机构BD·区域商务拓展·城市合伙人（远程办公）,珠海横琴领念教育科技有限公司,8k-25k,专科及以上,招聘 20人,市场营销 工商管理 教育学 教育技术学,全国,07-21 15:30,教育/培训/院校,民营企业,1-49人,,1,b9380dc4f37f,https://www.ncss.cn/student/jobs/DpUXEgbm2ffwz3m14uLjtD/detail.html
321,321-电商运营助理（长白班长夜班自选）-上海光速蜗牛电子商务有限公司.md,较相关,2,电商运营助理（长白班/长夜班自选）,上海光速蜗牛电子商务有限公司,6k-15k,专科及以上,招聘 6人,专业不限,四川省成都市,08-03 08:58,互联网/电子商务,民营企业,100-499人,,1,f7913a38b4d0,https://www.ncss.cn/student/jobs/SMCfZJn8nMbqViTqRCtRrN/detail.html
322,322-产品与市场助理专员-成都睿颖软件有限公司.md,较相关,2,产品与市场助理专员,成都睿颖软件有限公司,5k-8k,专科及以上,招聘 1人,自动化 电子 电气 信息 计算机 通讯,四川省成都市,07-06 18:58,计算机软件,民营企业,1-49人,,1,f0a179694c95,https://www.ncss.cn/student/jobs/YRcCNVHPyjem1p1pDtNGdR/detail.html
323,323-大客户事业部-管培生-天津百望金赋科技有限公司.md,较相关,2,大客户事业部-管培生,天津百望金赋科技有限公司,7k-8k,本科及以上,招聘 5人,计算机科学与技术 软件工程 物联网工程 数据科学与大数据技术 信息安全 网络空间安全 职能科学与技术 会计学 审计学 财务管理 经济学 税收学 金融学 经济与金融 财政学,天津市南开区,06-08 10:08,计算机服务（系统/数据/维护/安全）,民营企业,100-499人,,1,74fa59d55df1,https://www.ncss.cn/student/jobs/Vi1YEHmTEZSetGU4pZMjPB/detail.html
324,324-园区服务运营助理（实习兼职）-北京数力至简信息技术有限公司.md,较相关,2,园区服务运营助理（实习/兼职）,北京数力至简信息技术有限公司,3k-6k,本科及以上,招聘 1人,财务 法律 经济 管理 中文 统计 计算机,湖南省常德市武陵区,07-30 11:07,专业服务（财会/法律/翻译/人力资源等）,民营企业,1-49人,,1,38588eb254a0,https://www.ncss.cn/student/jobs/WiE8iLMrnjTNBKYPJTp8ZU/detail.html
325,325-营销业务员-湖北际华针织有限公司.md,较相关,2,营销业务员,湖北际华针织有限公司,3k-12k,本科及以上,招聘 1人,市场营销,湖北省孝感市,07-28 09:53,综合领域经营,国有企业,100-499人,,1,c60c37dc43a4,https://www.ncss.cn/student/jobs/XWrDQjRFXJ1hJ8XtzgP5a3/detail.html
326,326-大客户销售经理-郑州星原房地产经纪有限公司.md,较相关,2,大客户销售经理,郑州星原房地产经纪有限公司,4k-10k,专科及以上,招聘 5人,市场营销 设计 不限专业,河南省郑州市,07-16 17:52,房地产/建筑/建材/工程,民营企业,50-99人,,1,93b2e1295e21,https://www.ncss.cn/student/jobs/36jyUyNzQ8W9FE55G3DWsb/detail.html
327,327-美术馆策展-河南乌鸦行为品牌运营有限公司.md,较相关,2,美术馆策展,河南乌鸦行为品牌运营有限公司,3.5k-5k,本科及以上,招聘 2人,艺术 美术 视觉传达设计 摄影 编导等,河南省郑州市,07-23 12:42,互联网/电子商务,民营企业,50-99人,,1,25e8d5f508af,https://www.ncss.cn/student/jobs/VBgNbce37vuebtJWZM647a/detail.html
328,328-跨境电商运营助理-杭州启迪电子商务有限公司.md,较相关,2,跨境电商运营助理,杭州启迪电子商务有限公司,3k-6k,本科及以上,招聘 10人,电子商务相关,浙江省杭州市,07-16 09:34,互联网/电子商务,民营企业,50-99人,,1,fda005fc62b9,https://www.ncss.cn/student/jobs/C97s9FKiXhMvchU7EcJ51W/detail.html
329,329-营销采购文员-湖北际华针织有限公司.md,较相关,2,营销采购文员,湖北际华针织有限公司,3k-4k,本科及以上,招聘 1人,纺织工程专业，市场营销专业等,湖北省汉川市,08-04 09:48,综合领域经营,国有企业,100-499人,,1,91d39ab17133,https://www.ncss.cn/student/jobs/QNfTFJgYUosiFzUfP5cQWQ/detail.html
330,330-短视频运营-东莞市珂梦新材料有限公司.md,较相关,2,短视频运营,东莞市珂梦新材料有限公司,2.6k-4.5k,不限,招聘 4人,脑洞大有想法 会基本拍摄手法,广东省东莞市,06-29 18:17,互联网/电子商务,民营企业,1-49人,,1,15f6abd6b682,https://www.ncss.cn/student/jobs/QnVUjfPKr7GHTJt6cWGUq1/detail.html
331,331-市场运营专员-重庆物云电子商务有限公司.md,较相关,2,市场运营专员,重庆物云电子商务有限公司,5k-12k,专科及以上,招聘 10人,专业不限,云南省昭通市,08-02 22:29,互联网/电子商务,民营企业,50-99人,,1,295d6d0c3a33,https://www.ncss.cn/student/jobs/M7dF5oZH5t2N6ywSBSyg7U/detail.html
332,332-中国大地管培生应届生可投-中国大地财产保险股份有限公司东莞分公司第五营销服务部.md,较相关,2,中国大地管培生应届生可投,中国大地财产保险股份有限公司东莞分公司第五营销服务部,5k-8k,本科及以上,招聘 3人,哲学 理学 工学 历史学 文学 教育学 经济学 法学 农学 医学 管理学 艺术学,广东省东莞市,08-04 10:28,保险,股份制企业,50-99人,,1,08f6ed8f78b0,https://www.ncss.cn/student/jobs/BDHRgNuFrBcRRLNZsZPK6M/detail.html
333,333-市场专员-长沙君蓬房地产经纪有限责任公司.md,较相关,2,市场专员,长沙君蓬房地产经纪有限责任公司,3k-6k,专科及以上,招聘 15人,不限,湖南省长沙市,08-02 10:40,房地产/建筑/建材/工程,其他,100-499人,,1,a29603721726,https://www.ncss.cn/student/jobs/CPp4Qm3U6G6zyowR2MzydK/detail.html
334,334-商务专员-舟山市龙山船厂有限公司.md,较相关,2,商务专员,舟山市龙山船厂有限公司,5k-7k,本科及以上,招聘 1人,市场 销售 财务,浙江省舟山市,08-03 12:15,机械制造/机电/重工,民营企业,500-999人,,1,52dc88fdac3f,https://www.ncss.cn/student/jobs/PeBjFpNkqfLApPANJZR8Nj/detail.html
335,335-实习生＋实习证明+住宿-中国大地财产保险股份有限公司东莞分公司第五营销服务部.md,较相关,2,实习生＋实习证明+住宿,中国大地财产保险股份有限公司东莞分公司第五营销服务部,3.5k-9k,专科及以上,招聘 10人,人力资源 电子商务 市场营销 园林 计算机 营销管理 汉语言文学 学前班 经济学 金融学 农学 历史学 法学 管理学 艺术学 教育学,全国,08-04 10:27,保险,股份制企业,50-99人,,1,bd1938197d9b,https://www.ncss.cn/student/jobs/XFQZ5JxfQAXzp4g2FmvfZk/detail.html
336,336-市场调研-重庆万睿威欧科技有限公司.md,较相关,2,市场调研,重庆万睿威欧科技有限公司,4k-7k,专科及以上,招聘 12人,专业不限,重庆市两江新区,08-03 12:25,市场推广/运营,民营企业,1-49人,,1,86791402f97d,https://www.ncss.cn/student/jobs/YS9ayryaXHewi3WafZbqWs/detail.html
337,337-建材渠道营销专员-杭州欧德建材有限公司.md,较相关,2,建材渠道营销专员,杭州欧德建材有限公司,4.3k-12k,不限,招聘 2人,市场营销、工商管理、建筑建材,浙江省杭州市,08-04 10:53,批发/零售,民营企业,1-49人,,1,2c3a4de55881,https://www.ncss.cn/student/jobs/UgbaVmTS1WvSDFpLLY4DAn/detail.html
338,338-直播运营助理-杭州亿馨网络科技有限公司.md,较相关,2,直播运营助理,杭州亿馨网络科技有限公司,3.5k-5k,专科及以上,招聘 5人,经管系 电子商务 计算机,浙江省杭州市,07-06 11:16,互联网/电子商务,民营企业,100-499人,,1,800b569a23be,https://www.ncss.cn/student/jobs/176hC37Y9fEGEyqJn51tHU/detail.html
339,339-韩语运营助理-杭州亿馨网络科技有限公司.md,较相关,2,韩语运营助理,杭州亿馨网络科技有限公司,4k-5k,专科及以上,招聘 2人,应用韩语 朝鲜语,浙江省杭州市,06-24 15:51,互联网/电子商务,民营企业,100-499人,,1,36e782477781,https://www.ncss.cn/student/jobs/WpAYiY9iAyZNciVjSK2bpP/detail.html
340,340-产品推广专员（不限专业）-四川百策枢企业管理服务有限公司.md,较相关,2,产品推广专员（不限专业）,四川百策枢企业管理服务有限公司,6k-20k,专科及以上,招聘 5人,专业不限,全国,08-03 21:08,互联网/电子商务,民营企业,1-49人,,1,9c0b5f530f33,https://www.ncss.cn/student/jobs/FQoytNoxuvbW6sGgaf7PD7/detail.html
341,341-市场推广-湖南植萃功能农业科技有限公司.md,较相关,2,市场推广,湖南植萃功能农业科技有限公司,2k-5k,不限,招聘 5人,专业不限,湖南省长沙市市辖区,07-20 14:51,农/林/牧/渔,民营企业,1-49人,,1,d896b5e57093,https://www.ncss.cn/student/jobs/Trefokjt54nC13A3rh9jSH/detail.html
342,342-市场专员-河南亨利环保科技有限公司.md,较相关,2,市场专员,河南亨利环保科技有限公司,3k-10k,本科及以上,招聘 5人,专业不限,河南省新乡市,06-09 10:54,印刷/包装/造纸,民营企业,500-999人,,1,bae9e16d010d,https://www.ncss.cn/student/jobs/LU86UyqcAA6agpeCYkxaRi/detail.html
343,343-电商运营助理（接受小白+双休+提供住宿）-广州市天码网络科技有限公司.md,较相关,2,电商运营助理（接受小白+双休+提供住宿）,广州市天码网络科技有限公司,5k-9k,专科及以上,招聘 5人,专业不限,北京市平谷区,07-31 10:18,计算机软件,民营企业,50-99人,,1,18509e8f3ddc,https://www.ncss.cn/student/jobs/9kkZBQbnuRj4D4ydKZH1oP/detail.html
344,344-商务经理-重庆安安企业管理服务有限公司.md,较相关,2,商务经理,重庆安安企业管理服务有限公司,5k-10k,本科及以上,招聘 2人,人力资源,全国,07-08 16:51,专业服务（财会/法律/翻译/人力资源等）,民营企业,50-99人,,1,d5fcb434dd52,https://www.ncss.cn/student/jobs/PNEPqv6P6UxYeBmz43FAeW/detail.html
345,345-电话网络营销员BDC销售顾问-阳光人寿保险股份有限公司成都电话销售中心.md,较相关,2,电话网络营销员/BDC销售顾问,阳光人寿保险股份有限公司成都电话销售中心,10k-20k,本科及以上,招聘 2人,哲学 逻辑学 宗教学 伦理学 经济学 财政学 金融学 经济与贸易 金融学 金融工程 国际经济与贸易 体育学 教育学 科学教育 人文教育 教育技术学 艺术教育 学前教育 小学教育 特殊教育 华文教育 中国语言文学 外国语言文学 新闻传播学 汉语言文学 汉语言 汉语国际教育 中国少数民族语言文学 古典文献学 应用语言学 秘书学 力学 能源动力 电气 电子信息 自动化 计算机 土木 水利 测绘 农门学 医学类 工业互联,全国,07-29 09:32,投资/基金/证券/期货,股份制企业,1000人以上,,1,385970ea2afd,https://www.ncss.cn/student/jobs/NEizCk5AFpzSJwQHpt7LCh/detail.html
346,346-网络微信营销-中国平安人寿保险股份有限公司上海电话销售中心.md,较相关,2,网络 微信营销,中国平安人寿保险股份有限公司上海电话销售中心,10k-18k,专科及以上,招聘 3人,哲学 逻辑学 宗教学 伦理学 经济学 财政学 金融学 经济与贸易 金融学 金融工程 国际经济与贸易 体育学 教育学 科学教育 人文教育 教育技术学 艺术教育 学前教育 小学教育 特殊教育 华文教育 中国语言文学 外国语言文学 新闻传播学 汉语言文学 汉语言 汉语国际教育 中国少数民族语言文学 古典文献学 应用语言学 秘书学 力学 能源动力 电气 电子信息 自动化 计算机 土木 水利 测绘 农门学 医学类 不限专业,全国,07-29 09:20,投资/基金/证券/期货,上市公司,5000以上,,1,606e56723d14,https://www.ncss.cn/student/jobs/VEmuhK3JJ1kFMBu7g4qd6i/detail.html
347,347-电商运营助理-义乌市爱博科技有限公司.md,较相关,2,电商运营助理,义乌市爱博科技有限公司,5k-8k,专科及以上,招聘 5人,专业不限,江西省南昌市,08-04 11:17,批发/零售,民营企业,500-999人,,1,2e19aad3d3ff,https://www.ncss.cn/student/jobs/GpeNxQ49uT5uvFfCDQ5whj/detail.html
348,348-市场营销-四川壁虎互联网服务有限公司.md,较相关,2,市场营销,四川壁虎互联网服务有限公司,5k-8k,专科及以上,招聘 6人,专业不限,陕西省渭南市市辖区,08-02 22:31,互联网/电子商务,民营企业,500-999人,,1,a6836b80936a,https://www.ncss.cn/student/jobs/7vC4LyZ489k2dg4WiUBs8F/detail.html
349,349-营销业务部人员管理岗-富德生命人寿保险股份有限公司云南分公司.md,较相关,2,营销业务部人员管理岗,富德生命人寿保险股份有限公司云南分公司,4k-6k,本科及以上,招聘 1人,专业不限,云南省昆明市,07-21 15:45,投资/基金/证券/期货,股份制企业,100-499人,,1,76cb2e42a5c9,https://www.ncss.cn/student/jobs/BF3oTgnammWXD2ggDycw9z/detail.html
350,350-电商运营助理2027届实习生-麻城市锋炎电子商务有限公司.md,较相关,2,电商运营助理2027届实习生,麻城市锋炎电子商务有限公司,2k-6.5k,专科及以上,招聘 6人,计算机，人工智能，建筑，设计，工程，软件，互联网，电子商务,福建省福州市,08-04 08:17,互联网/电子商务,民营企业,100-499人,,1,66853499c665,https://www.ncss.cn/student/jobs/SAsTHbtZ1CJtww44HvhBKc/detail.html
351,351-营销业务部业务督导岗-富德生命人寿保险股份有限公司云南分公司.md,较相关,2,营销业务部业务督导岗,富德生命人寿保险股份有限公司云南分公司,4k-6k,本科及以上,招聘 1人,专业不限,云南省昆明市,07-21 15:45,投资/基金/证券/期货,股份制企业,100-499人,,1,ae30b8c4d267,https://www.ncss.cn/student/jobs/YMGhouFoETJyNiMg6JsQqC/detail.html
352,352-商务运营岗（保理）-中国平安人寿保险股份有限公司上海徐汇龙漕路营销服务部.md,较相关,2,商务运营岗（保理）,中国平安人寿保险股份有限公司上海徐汇龙漕路营销服务部,10k-20k,本科及以上,招聘 2人,计算机科学与技术 软件工程 网络工程 信息安全 物联网工程 数字媒体技术 智能科学与技术 空间信息与数字技术 电子与计算机工程 数据科学与大数据技术 网络空间安全 电影制作 保密技术 服务科学与工程 移动应用开发 人工智能技术应用 工商管理 临床医学 电子信息工程 农学 园艺 植物保护 公共事业管理 物流管理 行政管理 电子商务 广告学 科学教育 外交学,全国,08-04 09:19,投资/基金/证券/期货,国有企业,5000以上,,1,9940f8411aa6,https://www.ncss.cn/student/jobs/4j3VNf6FyYD7stCJonH2Ft/detail.html
353,353-网络运营助理-卫辉市汲水镇八里屯呈华五交化门市部.md,较相关,2,网络运营助理,卫辉市汲水镇八里屯呈华五交化门市部,3k-4k,专科及以上,招聘 1人,专业不限,河南省卫辉市,06-15 16:38,房地产/建筑/建材/工程,其他,1-49人,,1,b2605dcdb6b7,https://www.ncss.cn/student/jobs/FVbK3QwcB98qTZZpsFGSjz/detail.html
