序号,文件,相关度,相关度分值,职位,招聘主体,薪资,学历,招聘人数,专业,地区,更新时间,所属行业,公司性质,公司规模,技术关键词,同模板条数,JD指纹,详情页
130,130-亚马逊推广专员-深圳市飞鸟蓝鲸数字营销有限公司.md,直接相关,7,亚马逊推广专员,深圳市飞鸟蓝鲸数字营销有限公司,3k-8k,本科及以上,招聘 4人,专业不限,湖南省长沙市岳麓区,06-23 15:55,互联网/电子商务,民营企业,1-49人,,1,ef1ae16e2534,https://www.ncss.cn/student/jobs/NHv1rmYsnrTCzPXefoRmwL/detail.html
131,131-电商运营培训生-金华迎好电子科技有限公司.md,直接相关,7,电商运营培训生,金华迎好电子科技有限公司,4k-8k,专科及以上,招聘 10人,专业不限,浙江省金华市,06-15 10:51,互联网/电子商务,民营企业,50-99人,,1,d8c80d7c6949,https://www.ncss.cn/student/jobs/SnbB9AEhCsFcGf7F4AY2Nh/detail.html
132,132-国企办公室车险运营专员-太平洋保险在线服务科技有限公司深圳分公司.md,直接相关,7,国企办公室车险运营专员,太平洋保险在线服务科技有限公司深圳分公司,6k-12k,专科及以上,招聘 4人,专业不限,广东省东莞市,08-03 09:54,投资/基金/证券/期货,国有企业,5000以上,,1,c68a3e2417bf,https://www.ncss.cn/student/jobs/MZQC9mF8p2oWbEEX6xNcKU/detail.html
133,133-运营助理（27届实习）-深圳市掌量网络科技有限公司.md,直接相关,7,运营助理（27届实习）,深圳市掌量网络科技有限公司,3k-4k,专科及以上,招聘 2人,电子商务 市场营销 中国语言文学类 管理学 广告学 广播电视学 学前教育,广东省深圳市宝安区,06-29 17:31,互联网/电子商务,民营企业,1-49人,,1,83d8c08cab08,https://www.ncss.cn/student/jobs/Lfb6jVPQsG3N8F5SCEZDXq/detail.html
134,134-销售专员-深圳市飞鸟蓝鲸数字营销有限公司.md,直接相关,7,销售专员,深圳市飞鸟蓝鲸数字营销有限公司,5k-8k,本科及以上,招聘 1人,专业不限,广东省深圳市,06-16 09:59,互联网/电子商务,民营企业,1-49人,,1,51144b5e54c0,https://www.ncss.cn/student/jobs/Npf927V8ofipszMmHh3ZWj/detail.html
135,135-电商运营-海口高斯国际贸易有限公司.md,直接相关,7,电商运营,海口高斯国际贸易有限公司,3.5k-6k,专科及以上,招聘 5人,专业不限,海南省海口市,07-21 15:30,互联网/电子商务,民营企业,1-49人,,1,ba70ef5c2bc2,https://www.ncss.cn/student/jobs/X79RkXTHHErTDd83Gz49qv/detail.html
136,136-海外市场专员-北京艾亚特会展有限公司.md,直接相关,7,海外市场专员,北京艾亚特会展有限公司,7k-9k,本科及以上,招聘 2人,专业不限,北京市顺义区,07-20 16:15,广告/公关/会展,其他,1-49人,,1,cb4a55aa2e41,https://www.ncss.cn/student/jobs/PsqmQ2nokH22TQe3k2Rxy7/detail.html
137,137-视频运营助理-济南旭炎网络科技有限公司.md,直接相关,7,视频运营助理,济南旭炎网络科技有限公司,1.5k-2.5k,专科及以上,招聘 5人,专业不限,山东省济南市,06-12 16:04,互联网/电子商务,股份制企业,1-49人,,1,947c6b5bf553,https://www.ncss.cn/student/jobs/6UcyDEv2HuEwnsFr3Fd7C1/detail.html
138,138-市场推广-北京成公教育咨询有限责任公司内蒙古分公司.md,直接相关,7,市场推广,北京成公教育咨询有限责任公司内蒙古分公司,4k-6k,专科及以上,招聘 14人,不限专业,内蒙古呼和浩特市,07-10 16:47,教育/培训/院校,民营企业,100-499人,,1,b34cfa0511af,https://www.ncss.cn/student/jobs/6sNFBtNAXpr22Xi845Qm2J/detail.html
139,139-旅游店铺运营助理-上海恒途文化旅游（集团）有限公司.md,直接相关,7,旅游店铺运营助理,上海恒途文化旅游（集团）有限公司,3k-4k,本科及以上,招聘 6人,旅游管理 经济管理 市场营销 英语 工商管理 文秘 计算机 电子商务,上海市嘉定区,07-01 10:48,旅游/度假,民营企业,50-99人,,1,66579c1a4dc6,https://www.ncss.cn/student/jobs/CE7m2gyTLEao9o2SMZFKbH/detail.html
